"Classification","Department","Gender","Race","Computer_type","Primary_Computer","Computer_purchased","Computer_screen","Warranty","Webcam","Computer_rating","Computer_model","ownership","operating_system","Os_version","Processor","RAM","Hard_disk","Data_HD","Backup","Backup_method","Ext_brand","Clou_brand","Backup_frequency","Automatic_backups","Loss_of_data","UH_M_OneDrive","Secondary_device","Synced_Primary","Smartphone","Smartphone_brand","Smartphone_model","smartwatch","Smartwatch_brand","Smartwatch_model","Course_format","Confident_installing","Internet_speed","Internet_reliability","Computer_labs","Customare_vcare"
"Senior","Computer Science","Female","International","Standard User","Laptop","2019","15''","3 year","Built-in","Excellent","Other","Own","Windows OS","Windows 10 Home","Intel Core i5","8 GB","256 GB","100 GB - 500 GB","Yes","Cloud","","Microsoft OneDrive","Other","Yes","Yes","Yes","Yes","Yes","Yes","iPhone","iPhone X Series","No","","","Hybrid/Blended","Moderately confident","300 - 500 Mbps","Excellent","Somewhat unlikely","Yes"
"MS","Computer Science","Male","International","Standard User","Laptop","2017","15''","No","Built-in","Good","Other","Own","Other","Other","Intel Core i7","8 GB","> 1 TB","500 GB - 1 TB","No","","","","","","No","Yes","No","","Yes","Google","Google Pixel 3a","No","","","Hybrid/Blended","Very confident","300 - 500 Mbps","Excellent","Neither likely nor unlikely","Maybe"
"Senior","Biology and Biochemistry","Female","Asian American","Standard User","Laptop","2018","13''","No","Built-in","Good","Apple Macbook Air","Own","Mac OS","Catalina","Intel Core i5","8 GB","128 GB","500 GB - 1 TB","No","","","","","","No","No","No","","Yes","iPhone","iPhone X Series","Yes","Apple Watch","Apple Watch 4","Hybrid/Blended","Somewhat confident","100 - 300 Mbps","Average","Neither likely nor unlikely","Yes"
"Senior","Biology and Biochemistry","Male","Asian American","Standard User","Laptop","2017","13''","No","Built-in","Average","Other","Own","Windows OS","Windows 10 Home","Intel Core i7","8 GB","512 GB","100 GB - 500 GB","No","","","","","","No","No","No","","Yes","iPhone","iPhone X Series","No","","","Hybrid/Blended","Somewhat confident","< 100 Mbps","Fair","Somewhat unlikely","Maybe"
"PhD","Earth and Atmospheric Sciences","Female","White","Standard User","Laptop","2019","14''","1 year","Built-in","Excellent","Other","Own","Windows OS","Windows 10 Home","Intel Core i7","16 GB","512 GB","100 GB - 500 GB","Yes","Cloud","","Google Drive","Monthly","No","No","No","No","","Yes","Samsung","Samsung Galaxy","No","","","Hybrid/Blended","Moderately confident","300 - 500 Mbps","Excellent","Very unlikely","Maybe"
"Sophomore","Computer Science","Male","Asian American","Standard User","Desktop","2013","17''","No","No","Fair","Other","Own","Other","Other","Other","8 GB","1 TB","100 GB - 500 GB","Yes","External backup disk","WD","","Monthly","Yes","No","Yes","Yes","Yes","Yes","iPhone","iPhone 11","No","","","Hybrid/Blended","Very confident","100 - 300 Mbps","Good","Somewhat likely","Yes"
"PhD","Biology and Biochemistry","Male","Asian American","Standard User","Laptop","2014","17''","No","Built-in","Excellent","Other","Own","Windows OS","Other","Intel Core i7","> 32 GB","> 1 TB","500 GB - 1 TB","Yes","Both","WD","Google Drive","Daily","Yes","No","No","No","","Yes","iPhone","iPhone 8","No","","","Fully Online","Very confident","> 500 Mbps","Excellent","Very unlikely","Maybe"
"PhD","Chemistry","Female","White","Standard User","Laptop","2018","13''","3 year","Built-in","Excellent","Apple Macbook Pro","Own","Mac OS","Catalina","Intel Core i7","16 GB","256 GB","100 GB - 500 GB","Yes","Both","Seagate","Apple iCloud","Monthly","Yes","Yes","No","No","","Yes","iPhone","iPhone X Series","Yes","Apple Watch","Apple Watch 5","Hybrid/Blended","Very confident","> 500 Mbps","Average","Very unlikely","Maybe"
"Senior","Biology and Biochemistry","Female","African American","Standard User","Laptop","2018","13''","No","Built-in","Excellent","Apple Macbook Pro","Own","Mac OS","Catalina","Intel Core i5","8 GB","128 GB","< 100 GB","Yes","Cloud","","Apple iCloud","Daily","Yes","No","No","Yes","Yes","Yes","iPhone","iPhone 11","Yes","Apple Watch","Apple Watch 5","Face-to-Face","Somewhat confident","100 - 300 Mbps","Good","Somewhat unlikely","Yes"
"Senior","Biology and Biochemistry","Female","Hispanic","Standard User","Laptop","2019","13''","3 year","Built-in","Excellent","Other","Own","Windows OS","Windows 10 Home","Intel Core i7","16 GB","256 GB","100 GB - 500 GB","No","","","","","","No","No","No","","Yes","iPhone","iPhone 8","No","","","Hybrid/Blended","Moderately confident","100 - 300 Mbps","Good","Neither likely nor unlikely","Yes"
"Sophomore","Biology and Biochemistry","Female","Hispanic","Standard User","Laptop","2018","13''","No","Built-in","Average","Dell Inspiron 7000","Own","Windows OS","Windows 10 Home","Intel Core i5","8 GB","256 GB","100 GB - 500 GB","No","","","","","","No","Yes","No","","Yes","Samsung","Samsung Galaxy","No","","","Face-to-Face","Not confident","100 - 300 Mbps","Fair","Somewhat likely","Maybe"
"PhD","Mathematics","Male","International","Standard User","Laptop","2017","15''","No","Built-in","Good","Other","Own","Windows OS","Windows 10 Home","Intel Core i7","8 GB","1 TB","100 GB - 500 GB","No","","","","","","No","Yes","No","","Yes","Other","Other","No","","","Face-to-Face","Very confident","100 - 300 Mbps","Good","Somewhat likely","Yes"
"Senior","Chemistry","Male","Hispanic","Standard User","Laptop","2019","14''","No","Built-in","Good","Other","Own","Windows OS","Windows 10 Home","Other","8 GB","128 GB","< 100 GB","No","","","","","","No","Yes","No","","Yes","Samsung","Samsung Galaxy","No","","","Face-to-Face","Neutral","< 100 Mbps","Good","Neither likely nor unlikely","Yes"
"Senior","Biology and Biochemistry","Female","White","Standard User","Laptop","2015","13''","No","Built-in","Average","Apple Macbook Pro","Own","Mac OS","High Sierra","Intel Core i9","4 GB","128 GB","< 100 GB","Yes","Cloud","","Apple iCloud","Weekly","Yes","No","No","Yes","Yes","Yes","iPhone","iPhone X Series","No","","","Hybrid/Blended","Not confident","300 - 500 Mbps","Good","Somewhat likely","Yes"
"Senior","Biology and Biochemistry","Female","Asian American","Standard User","Laptop","2017","14''","No","Built-in","Good","Other","Own","Windows OS","Windows 10 Pro","Intel Core i5","8 GB","256 GB","100 GB - 500 GB","No","","","","","","No","Yes","No","","Yes","Other","Other","No","","","Fully Online","Very confident","300 - 500 Mbps","Excellent","Neither likely nor unlikely","Maybe"
"PhD","Computer Science","Male","White","Standard User","Laptop","2012","15''","No","Built-in","Average","Other","Own","Other","Other","Other","8 GB","512 GB","< 100 GB","Yes","Both","Seagate","Google Drive","Monthly","No","No","No","Yes","Yes","Yes","Google","Other","No","","","Fully Online","Very confident","100 - 300 Mbps","Fair","Somewhat likely","Yes"
"Freshman","Biology and Biochemistry","Male","White","Standard User","Desktop","2018","Other","No","Built-in","Average","Other","Own","Mac OS","Catalina","Intel Core i5","8 GB","1 TB","500 GB - 1 TB","No","","","","","","No","No","Yes","Yes","Yes","iPhone","iPhone X Series","No","","","Fully Online","Moderately confident","100 - 300 Mbps","Good","Neither likely nor unlikely","Yes"
"PhD","Chemistry","Female","International","Standard User","Laptop","2019","13''","No","Built-in","Good","Microsoft Surface","Own","Windows OS","Windows 10 Home","Intel Core i7","16 GB","512 GB","100 GB - 500 GB","Yes","Cloud","","Microsoft OneDrive","Daily","Yes","No","Yes","Yes","Yes","Yes","iPhone","iPhone X Series","No","","","Fully Online","Very confident","100 - 300 Mbps","Excellent","Somewhat likely","Maybe"
"Senior","Biology and Biochemistry","Female","Asian American","Standard User","Laptop","2016","17''","No","Built-in","Average","Other","Own","Windows OS","Windows 10 Home","Intel Core i5","8 GB","128 GB","100 GB - 500 GB","No","","","","","","No","No","No","","Yes","Other","Other","No","","","Hybrid/Blended","Neutral","100 - 300 Mbps","Average","Neither likely nor unlikely","Maybe"
"Freshman","Biology and Biochemistry","Female","Asian American","Standard User","Laptop","2019","15''","No","Built-in","Good","Other","Own","Windows OS","Windows 10 Home","Intel Core i7","16 GB","512 GB","100 GB - 500 GB","No","","","","","","No","No","Yes","No","Yes","Other","Other","No","","","Face-to-Face","Somewhat confident","300 - 500 Mbps","Good","Very unlikely","Yes"
"Senior","Mathematics","Male","Hispanic","Standard User","Laptop","2012","13''","No","Built-in","Average","Apple Macbook Pro","Own","Mac OS","Catalina","Intel Core i5","8 GB","128 GB","< 100 GB","No","","","","","","No","Yes","Yes","No","Yes","iPhone","iPhone X Series","Yes","Apple Watch","Other","Hybrid/Blended","Very confident","100 - 300 Mbps","Excellent","Somewhat unlikely","Yes"
"MS","Mathematics","Female","White","Standard User","Laptop","2018","17''","3 year","Built-in","Excellent","Microsoft Surface","Own","Windows OS","Windows 10 Home","Intel Core i7","16 GB","1 TB","100 GB - 500 GB","Yes","Cloud","","Microsoft OneDrive","Daily","Yes","No","No","No","","Yes","Samsung","Samsung Galaxy","No","","","Fully Online","Very confident","300 - 500 Mbps","Excellent","Very unlikely","No"
"Sophomore","Chemistry","Female","Multiracial","Standard User","Laptop","2019","14''","1 year","Built-in","Good","Lenovo ThinkPad","Own","Windows OS","Windows 10 Home","Intel Core i7","16 GB","512 GB","100 GB - 500 GB","No","","","","","","No","Yes","Yes","Yes","Yes","Samsung","Samsung Galaxy","No","","","Face-to-Face","Somewhat confident","< 100 Mbps","Good","Somewhat likely","Yes"
"Freshman","Biology and Biochemistry","Male","Asian American","Standard User","Laptop","2019","15''","No","Built-in","Excellent","Microsoft Surface","Own","Windows OS","Windows 10 Pro","Intel Core i7","16 GB","512 GB","< 100 GB","Yes","Both","Other","Google Drive","Daily","Yes","No","Yes","Yes","No","Yes","Samsung","Samsung Galaxy","Yes","Samsung","Samsung Galaxy Watch","Fully Online","Moderately confident","< 100 Mbps","Good","Somewhat unlikely","Yes"
"PhD","Biology and Biochemistry","Male","White","Standard User","Laptop","2017","13''","No","Built-in","Average","Apple Macbook Air","Own","Mac OS","High Sierra","Intel Core i7","4 GB","128 GB","100 GB - 500 GB","Yes","Cloud","","Google Drive","Daily","Yes","No","Yes","No","","Yes","iPhone","Other","No","","","Fully Online","Moderately confident","300 - 500 Mbps","Average","Very unlikely","Yes"
"Senior","Biology and Biochemistry","Female","Asian American","Standard User","Desktop","2016","14''","No","No","Fair","Other","Own","Windows OS","Windows 10 Home","Intel Core i7","16 GB","1 TB","500 GB - 1 TB","No","","","","","","Yes","No","No","","Yes","iPhone","iPhone X Series","No","","","Fully Online","Neutral","< 100 Mbps","Good","Neither likely nor unlikely","Yes"
"Sophomore","Computer Science","Male","African American","Standard User","Laptop","2017","13''","No","Built-in","Good","Apple Macbook Air","Own","Mac OS","Catalina","Intel Core i5","4 GB","256 GB","100 GB - 500 GB","Yes","Cloud","","Google Drive","Other","No","No","No","Yes","No","Yes","Samsung","Other","No","","","Fully Online","Moderately confident","< 100 Mbps","Average","Neither likely nor unlikely","Maybe"
