"Rank","NASA","TA","EXT","AGR","CS","NT","OP","AV","EM","Task","H","RS","WH","TWR","BR","NP","SR","AP","AR","DWH","DWR","T","DS"
"Professor",24,38,2,8,10,3,8,16,17,26,41,2,4,30,3,2,3,3,4,5,70,1,2
"Associate Professor",17,35,6,9,7,4,8,25,14,31,25,2,3,30,3,2,3,3,5,4,70,2,2
"Assistant Professor",16,54,3,7,3,9,6,23,24,16,17,2,3,40,1,2,1,4,2,5,60,2,3
"Professor",18,28,6,4,10,3,8,13,12,35,60,2,3,50,2,1,2,4,5,3,60,3,2
"Associate Professor",15,42,7,8,10,8,10,22,16,30,21,2,3,40,3,2,1,4,4,5,80,3,3
"Professor",20,34,5,6,10,5,5,15,18,28,30,2,4,20,3,1,2,4,2,3,50,3,2
"Associate Professor",23,56,6,9,10,8,5,18,34,27,16,2,4,50,1,2,1,4,2,5,70,3,3
"Associate Professor",22,36,9,9,10,3,9,24,24,32,19,1,3,70,3,2,1,3,5,3,70,3,1
"Professor",19,22,4,7,10,2,9,14,10,24,46,1,3,50,3,1,1,4,5,3,60,2,2
"Associate Professor",18,35,4,9,10,3,6,15,21,32,8,2,4,20,2,1,1,2,1,4,40,1,3
"Professor",16,45,2,10,6,4,7,25,17,29,39,1,3,50,1,2,1,4,5,5,80,3,2
"Assistant Professor",24,38,4,7,7,6,9,24,24,32,16,1,3,50,2,2,3,3,4,4,70,3,3
"Professor",24,34,6,8,9,4,6,24,13,33,46,1,4,30,4,3,1,4,5,4,40,3,2
"Professor",11,28,6,8,9,3,10,24,12,22,35,1,3,70,2,3,1,4,4,5,80,1,3
"Assistant Professor",27,51,5,8,7,7,8,20,23,28,11,2,4,70,2,2,3,2,2,5,90,1,3
"Professor",23,37,5,8,9,3,7,15,17,33,24,2,4,30,2,2,1,4,5,5,70,1,3
"Professor",17,48,5,7,6,6,7,21,25,22,44,1,3,30,2,NA,NA,NA,NA,NA,NA,NA,NA
"Professor",15,24,10,10,6,3,9,19,10,31,13,1,1,30,2,1,3,2,3,3,30,3,2
"Professor",21,37,10,8,10,2,3,18,14,29,45,1,4,30,3,2,2,4,3,4,80,2,3
"Associate Professor",21,33,5,10,10,6,7,30,20,33,22,1,4,50,1,2,1,4,4,5,90,3,3
"Assistant Professor",16,49,5,9,7,9,7,20,16,25,15,1,4,50,3,2,2,2,4,3,70,3,2
"Assistant Professor",13,32,9,10,8,3,8,22,8,32,10,1,2,60,1,NA,NA,NA,NA,NA,NA,NA,NA
"Professor",20,31,4,9,10,5,10,20,13,30,19,1,4,10,3,1,3,4,3,4,50,3,3
"Professor",18,26,7,6,10,4,7,24,16,35,43,2,4,70,2,2,1,3,5,4,80,2,3
"Professor",26,39,7,7,10,6,9,18,22,31,28,2,3,50,2,2,2,4,3,5,70,3,3
"Associate Professor",34,46,8,7,10,5,10,21,16,31,17,2,4,30,3,3,1,2,4,4,60,3,3
"Professor",18,20,9,10,8,2,6,19,7,35,21,2,4,50,3,2,1,3,3,5,70,1,3
"Professor",21,29,9,10,9,3,7,13,10,30,60,1,3,70,4,1,2,4,4,3,80,3,2
"Associate Professor",25,53,9,7,6,7,8,22,28,23,18,2,3,60,3,3,1,4,4,5,90,3,3
"Professor",23,26,7,10,10,6,10,20,19,28,13,2,3,40,2,2,3,4,1,5,50,1,1
"Associate Professor",28,47,4,4,8,7,9,23,19,29,30,1,4,50,3,1,1,4,2,4,60,3,3
"Professor",13,22,5,10,9,2,6,13,8,32,37,2,3,30,2,1,2,4,3,4,30,1,3
"Associate Professor",23,47,7,8,8,10,8,27,23,24,6,2,2,30,2,1,1,4,2,5,70,2,3
"Professor",22,37,8,9,9,6,9,33,14,28,20,1,4,40,2,2,1,3,2,5,80,3,3
"Assistant Professor",28,52,6,6,6,6,6,17,21,23,11,2,4,70,2,2,1,4,4,5,70,3,3
"Professor",28,44,8,6,10,7,9,23,24,27,26,1,3,50,2,2,1,4,5,5,70,3,2
"Professor",18,34,5,8,8,5,9,12,14,23,17,2,4,80,3,2,3,3,2,3,90,3,2
"Assistant Professor",26,34,5,6,9,3,10,12,9,32,30,2,4,50,2,3,1,4,5,5,80,3,2
"Assistant Professor",22,62,4,5,5,7,8,17,26,27,10,1,4,30,2,2,1,1,1,4,60,2,3
"Assistant Professor",28,55,7,8,8,5,6,17,22,27,15,2,3,50,3,3,1,2,3,5,80,2,3
"Professor",26,22,3,8,10,3,3,12,10,35,53,1,3,30,3,2,1,4,4,4,60,3,3
"Professor",26,41,7,8,7,4,10,20,7,34,28,2,4,40,4,3,1,4,3,5,60,3,3
"Professor",25,26,2,10,8,2,5,7,7,32,22,2,4,10,3,2,1,2,1,5,60,1,3
"Professor",26,44,10,10,10,3,9,14,14,31,77,1,4,50,1,3,1,4,5,5,60,1,3
"Professor",23,38,9,7,10,5,7,25,21,26,33,2,4,50,3,1,2,4,5,5,60,2,3
"Assistant Professor",16,43,5,9,9,6,7,18,21,32,18,2,3,80,2,3,1,3,3,5,90,3,1
"Professor",23,48,3,9,8,5,8,16,15,26,54,1,2,30,2,1,1,3,2,3,20,3,2
"Professor",26,52,5,8,10,4,10,18,19,27,38,1,4,30,2,3,1,2,3,5,60,1,3
"Professor",36,51,2,10,9,6,10,13,24,35,5,1,4,90,4,3,1,4,5,3,90,3,2
"Associate Professor",19,45,5,7,9,8,6,17,26,27,54,2,3,40,2,1,1,2,5,5,70,2,3
"Professor",20,36,8,7,9,4,7,19,14,32,40,2,3,40,3,2,1,4,5,4,50,3,3
"Professor",22,48,10,8,9,6,5,19,19,28,26,1,4,20,2,1,1,3,4,5,50,1,3
"Associate Professor",28,48,6,7,8,8,7,15,22,21,22,2,4,20,3,3,3,2,2,5,10,2,3
