P_ID,S_G30,S_G50,S_F75,S_FF,S_G50FF,WC,Comment,NA1,NA2,NA3,NA4,NA5,PA1,PA2,IS1,IS2
P_105,0,0,1,0,0,34,1,0,0,0,0,0,0,0,1,0
P_107,0,0,0,0,0,26,1,0,0,1,0,0,0,0,0,0
P_109,0,0,0,0,0,11,1,0,0,0,0,0,0,0,0,1
P_11,0,0,0,0,0,17,1,0,0,0,0,0,0,0,0,1
P_111,1,1,1,1,1,86,1,0,0,0,0,0,1,0,0,0
P_114,0,0,0,0,0,51,1,0,1,0,0,0,0,0,0,0
P_115,1,1,1,0,0,38,1,0,0,0,0,0,0,0,0,1
P_117,0,0,0,0,0,30,1,1,0,0,0,0,0,0,1,1
P_120,0,0,0,0,0,67,1,0,0,1,0,0,0,1,0,1
P_121,0,0,0,0,0,151,1,1,1,1,0,0,0,0,0,0
P_125,1,0,0,0,0,14,1,1,0,0,0,0,0,0,0,0
P_126,0,0,0,0,0,30,1,0,1,0,1,0,0,0,0,0
P_131,1,0,1,1,0,22,1,0,0,0,0,0,0,0,0,0
P_135,0,0,0,0,0,9,1,0,0,0,0,0,0,1,0,0
P_137,0,0,1,1,0,64,1,0,0,1,0,0,1,1,0,0
P_138,0,0,0,0,0,29,1,0,0,0,0,0,0,1,0,0
P_139,1,1,1,1,1,44,1,0,0,1,0,0,0,0,0,0
P_140,0,0,1,0,0,72,1,1,0,0,0,0,0,0,0,0
P_142,1,0,1,0,0,166,1,0,0,0,0,1,0,1,0,0
P_146,0,0,1,0,0,28,1,0,0,0,0,1,0,1,0,1
P_150,0,0,1,0,0,30,1,0,0,0,0,1,0,0,0,0
P_151,0,0,1,0,0,21,1,0,0,0,0,0,1,0,0,0
P_153,0,0,0,0,0,15,1,0,0,0,0,0,0,0,0,1
P_154,1,0,0,0,0,31,1,1,1,0,0,0,0,0,0,0
P_155,1,1,1,1,1,34,1,0,0,0,0,0,0,1,0,1
P_156,0,0,1,0,0,37,1,0,0,0,1,1,0,0,0,0
P_157,0,0,1,0,0,68,1,0,0,0,0,0,0,0,0,1
P_158,0,0,1,0,0,92,1,0,0,0,1,0,0,0,0,1
P_159,1,0,1,1,0,32,1,0,0,0,0,0,0,0,0,1
P_16,1,1,1,0,0,22,1,0,0,0,0,0,0,0,0,1
P_162,0,0,1,1,0,35,1,0,0,0,0,0,0,0,0,0
P_165,0,0,0,0,0,7,1,0,0,0,0,0,0,0,0,1
P_166,0,0,0,0,0,67,1,0,0,0,0,0,1,1,0,0
P_167,0,0,1,0,0,12,1,0,0,0,0,0,0,1,0,0
P_168,1,0,0,0,0,18,1,0,0,0,0,1,0,0,0,0
P_17,0,0,0,0,0,50,1,0,0,0,1,0,1,0,0,0
P_170,0,0,0,0,0,13,1,0,0,1,0,0,0,0,0,0
P_171,0,0,0,0,0,56,1,0,0,0,0,1,0,0,0,0
P_174,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,1
P_18,1,1,0,0,0,19,1,0,0,0,0,0,0,0,0,0
P_180,0,0,0,0,0,58,1,0,0,0,0,0,0,0,0,0
