"P_ID","S_G30","S_G50","S_F75","S_FF","S_G50FF","About_Proposal_Deadline"
"P_5",1,0,0,0,0,"Most often, proposal deadlines are easily managed with proper planning and ongoing task monitoring. "
"P_6",0,0,0,0,0,"There is a lot of variability in the extent to which I work up to the deadline on proposals. Two of them I have submitted 15 minutes before the deadline. But most of them I submit at least a day before the deadline. I still experience significant stress leading up to submitting, even though it is a day or so ""early."" I think continuous submission (like standing review committee members get) would decrease the amount of stress associated with any particular time of year. Now that proposals are submitted and handled electronically, it seems like there might be less need to have a deadline three months in advance of review. However, people might submit fewer proposals if they did not have an external deadline to keep them accountable."
"P_8",0,0,1,1,0,"Advance thought processes, preparation will help. However, the stress of not having money in the bank to fund the lab is overwhelming... "
"P_11",0,0,0,0,0,"Interval deadlines could work. What interval would work best is a research question in its own right."
"P_16",1,1,1,0,0,"Although I have not experience it yet, I am favorable of the no deadline approach introduced by NSF in certain directorates/divisions."
"P_17",0,0,0,0,0,"The way the process works at my university I must arrange my schedule so I can give all of my time if needed to chase down glitches in the routing and submission process.  Personally, I prefer a couple of concentrated days of intense effort to a long drawn out process."
"P_18",1,1,0,0,0,"My proposals are mostly to a private donor, so probably my answers are not too relevant for this study."
"P_19",1,0,0,0,0,"Deadlines focus the mind"
"P_20",0,0,1,0,0,"IMHO and experience, installing rolling deadlines will increase the quality of proposals and decrease the number of proposals."
"P_22",1,1,0,0,0,"The granting agencies keep changing formats, requirements, and online submission sites. Just keeping up with those is a job in itself."
"P_27",1,0,1,1,0,"I always have proposals ready weeks in advance, precisely to avoid the type of stress that I see in my colleagues as they prepare proposals.  I don't understand why they wait until the last minute."
"P_28",0,0,0,0,0,"Over the arc of my career, I have moved my work earlier and had less stressful submission days. Still, a non-responsive grants administrator, or a failing document/computer issue can cause calamity. I once had to fully rebuild a reference section 50 minutes before the deadline. . . this past year, I have had many more peaceful submission days."
"P_29",1,1,1,1,1,"Programmatic deadlines are rigid  even when the government shots down.  The wait for the review process is too long."
"P_30",0,0,0,0,0,"NSF's no-deadline system is great"
"P_31",1,0,0,0,0,"I have been a faculty member for over 20 years.  I don't write very many proposals, but the ones I do write, I try to make them winners.  This requires getting started early (months ahead) and not leaving things for the last minute.  There are many times I've decided not to submit a proposal rather than try to rush it.  Annual deadlines make this an expensive choice, and I was very unhappy when my directorate at NSF moved from 2 submission opportunities/year to just 1.  Fortunately I have tenure, it's always possible to get 1-2 students who are funded via TAs or outside employment, and my job security doesn't depend on bringing in grant funding, so proposal-writing is not a major stressor in my life."
"P_36",1,1,1,0,0,"I cannot tolerate last minute changes.  If you plan the work, there is no need to stress at the last moment.  I do not work with last minute people."
"P_37",0,0,0,0,0,"I think all researchers meeting some simple fixed criteria should get a base level of funding to ensure productivity can remain high without losing time to large numbers of grant deadlines."
