P_ID,S_G30,S_G50,S_F75,S_FF,S_G50FF,NA1,NA2,NA3,NA4,NA5, PA1,PA2,IS1,IS2
P_5,1,0,0,0,0,0,0,0,0,0,1,0,0,0
P_6,0,0,0,0,0,1,0,0,0,1,1,1,0,1
P_8,0,0,1,1,0,0,0,0,0,0,1,0,0,0
P_11,0,0,0,0,0,0,0,0,0,0,0,0,0,1
P_16,1,1,1,0,0,0,0,0,0,0,0,0,0,1
P_17,0,0,0,0,0,0,0,0,1,0,1,0,0,0
P_18,1,1,0,0,0,0,0,0,0,0,0,0,0,0
P_19,1,0,0,0,0,0,0,0,0,0,0,1,0,0
P_20,0,0,1,0,0,0,0,0,0,0,0,0,0,1
P_22,1,1,0,0,0,1,0,0,0,0,0,0,0,0
P_27,1,0,1,1,0,0,0,0,0,0,1,0,0,0
P_28,0,0,0,0,0,1,0,0,0,1,1,0,0,0
P_29,1,1,1,1,1,0,0,0,0,1,0,0,0,0
P_30,0,0,0,0,0,0,0,0,0,0,0,0,0,1
P_31,1,0,0,0,0,0,0,0,0,1,1,0,0,1
P_36,1,1,1,0,0,0,0,1,0,0,1,0,0,0
P_37,0,0,0,0,0,0,0,0,0,0,0,0,1,0
P_38,0,0,1,1,0,1,0,0,0,1,0,0,1,1
P_44,1,0,1,0,0,0,0,1,0,0,0,0,0,1
P_45,0,0,0,0,0,0,0,0,0,0,0,0,0,1
P_46,0,0,1,0,0,0,0,0,0,0,0,0,0,0
P_48,0,0,1,1,0,0,0,0,0,0,1,0,0,0
P_50,0,0,0,0,0,0,0,1,0,0,1,0,0,0
P_56,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P_57,0,0,1,0,0,0,0,0,0,0,0,0,0,1
P_60,0,0,0,0,0,0,0,0,0,0,1,0,0,0
P_64,0,0,0,0,0,0,0,0,0,1,0,0,0,0
P_65,1,0,0,0,0,0,0,0,0,0,0,1,0,1
P_67,0,0,1,0,0,1,0,0,0,0,0,0,0,1
P_69,0,0,0,0,0,0,0,0,0,0,0,0,0,1
P_72,0,0,1,1,0,1,0,0,0,0,0,1,1,0
P_74,0,0,1,1,0,0,0,0,1,0,0,0,0,0
P_77,1,1,1,1,1,0,0,0,1,0,1,1,0,0
P_78,0,0,0,0,0,1,0,0,0,0,0,0,1,0
P_80,1,1,1,1,1,0,0,0,1,0,0,0,0,1
P_81,0,0,0,0,0,0,0,0,0,0,0,0,1,0
P_82,1,1,1,1,1,0,0,0,0,0,1,0,0,0
P_83,0,0,0,0,0,1,0,0,0,0,0,0,0,0
P_90,0,0,1,0,0,1,0,0,0,0,0,0,0,0
P_91,1,0,0,0,0,0,0,0,0,0,0,0,0,0
P_92,1,1,1,0,0,0,0,0,0,0,0,0,0,1
P_94,0,0,1,0,0,1,0,0,0,0,1,0,0,0
P_95,0,0,0,0,0,0,0,0,0,0,0,0,0,1
P_97,0,0,0,0,0,0,1,1,0,0,0,0,0,0
P_100,1,0,0,0,0,0,0,0,0,0,0,0,0,0
P_105,0,0,1,0,0,0,0,0,0,0,0,0,0,1
P_107,0,0,0,0,0,0,0,1,0,0,0,0,0,0
P_109,0,0,0,0,0,0,0,0,0,0,0,0,0,1
P_111,1,1,1,1,1,0,0,0,0,0,1,0,0,0
P_114,0,0,0,0,0,0,1,0,0,0,0,0,0,0
P_115,1,1,1,0,0,0,0,0,0,0,0,0,0,1
P_117,0,0,0,0,0,0,0,0,0,0,0,0,0,1
P_120,0,0,0,0,0,0,0,1,0,0,1,0,0,1
P_121,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P_122,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P_123,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P_125,1,0,0,0,0,0,1,0,0,0,0,0,0,0
P_126,0,0,0,0,0,0,1,0,1,0,0,0,0,0
P_131,1,0,1,1,0,0,0,0,0,0,0,0,0,0
P_135,0,0,0,0,0,0,0,0,0,0,0,1,0,0
