P_ID,S_G30,S_G50,S_F75,S_FF,S_G50FF,About_Proposal_Deadline,NA1,NA2 ,NA3,NA4,NA5, PA1,PA2,IS1,IS2,,,
P_5,1,0,0,0,0,Most often,,,,,,,,,,,,
P_6,0,0,0,0,0,There is a lot of variability in the extent to which I work up to the deadline on proposals. Two of them I have submitted 15 minutes before the deadline. But most of them I submit at least a day before the deadline. I still experience significant stress leading up to submitting,,,,,,,,,,,,
P_8,0,0,1,1,0,Advance thought processes,,,,,,,,,,,,
P_11,0,0,0,0,0,Interval deadlines could work. What interval would work best is a research question in its own right.,0,0,0,0,0,0,0,0,1,,,
P_16,1,1,1,0,0,Although I have not experience it yet,,,,,,,,,,,,
P_17,0,0,0,0,0,The way the process works at my university I must arrange my schedule so I can give all of my time if needed to chase down glitches in the routing and submission process.  Personally,,,,,,,,,,,,
P_18,1,1,0,0,0,My proposals are mostly to a private donor,,,,,,,,,,,,
P_19,1,0,0,0,0,Deadlines focus the mind,0,0,0,0,0,0,1,0,0,,,
P_20,0,0,1,0,0,IMHO and experience,,,,,,,,,,,,
P_22,1,1,0,0,0,The granting agencies keep changing formats,,,,,,,,,,,,
P_27,1,0,1,1,0,I always have proposals ready weeks in advance,,,,,,,,,,,,
P_28,0,0,0,0,0,Over the arc of my career,,,,,,,,,,,,
P_29,1,1,1,1,1,Programmatic deadlines are rigid  even when the government shots down.  The wait for the review process is too long.,0,0,0,0,1,0,0,0,0,,,
P_30,0,0,0,0,0,NSF's no-deadline system is great,0,0,0,0,0,0,0,0,1,,,
P_31,1,0,0,0,0,I have been a faculty member for over 20 years.  I don't write very many proposals,,,,,,,,,,,,
P_36,1,1,1,0,0,I cannot tolerate last minute changes.  If you plan the work,,,,,,,,,,,,
P_37,0,0,0,0,0,I think all researchers meeting some simple fixed criteria should get a base level of funding to ensure productivity can remain high without losing time to large numbers of grant deadlines.,0,0,0,0,0,0,0,1,0,,,
P_38,0,0,1,1,0,Not only do proposal deadlines give me more stress,,,,,,,,,,,,
P_44,1,0,1,0,0,Deadlines are easier for me to handle when I am the only PI. It stresses me far less,,,,,,,,,,,,
P_45,0,0,0,0,0,The deadlines are less impactful compared to the shear number of proposals one has to submit.  In this respect,,,,,,,,,,,,
P_46,0,0,1,0,0,It is more stressful on the days when I expect an answer to the proposal!,0,0,0,0,0,0,0,0,0,,,
P_48,0,0,1,1,0,I prepare grants and submit them about six weeks before due ,0,0,0,0,0,1,0,0,0,,,
P_50,0,0,0,0,0,It's all about planning.  I have a child with special needs.  I simply can't afford to do things at the last minute anymore because life is too unpredictable.  BUT convincing my collaborators to do things early is the biggest issue and stress...,0,0,1,0,0,1,0,0,0,,,
P_56,0,0,0,0,0,The NSF is LYING about funding rates- the % success rate is likely 5% or less. I have already found that women win NSF grants at a rate 3X compared to men in our dept. The reviews are not based on the grants,,,,,,,,,,,,
P_57,0,0,1,0,0,Rolling submission deadlines are less disruptive or stress inducting than fixed date deadlines,0,0,0,0,0,0,0,0,1,,,
P_60,0,0,0,0,0,Ever since graduate school,,,,,,,,,,,,
P_64,0,0,0,0,0,The day the proposal is due is not the worst,,,,,,,,,,,,
P_65,1,0,0,0,0,Rolling deadlines is better for stress,,,,,,,,,,,,
P_67,0,0,1,0,0,Years ago,,,,,,,,,,,,
P_69,0,0,0,0,0,longer open period of submission (say 3 months-long) twice a year,0,0,0,0,0,0,0,0,1,,,
P_72,0,0,1,1,0,i like proposal deadlines - it forces us to get organized.  my biggest issue is the slow response by my campus grants offices - i would not be submitting last minute but for them. i would like to see reduced paperwork/compliance/bureaocracy in the filing of the proposal - ,1,1,0,0,0,0,1,1,0,,,
P_74,0,0,1,1,0,Impossible to prepare some proposals due to short deadlines and too many teaching or administrative commitments during some months of the year,0,0,0,1,0,0,0,0,0,,,
P_77,1,1,1,1,1,I just can't seem to avoid pulling an all-nighter just before the proposal deadline.  I have too many other obligations (research,,,,,,,,,,,,
P_78,0,0,0,0,0,The proposal process is way to complicated.  I think everyone spends a tremendous amount of energy and time on a bet that they might get some funding.  This is stressful.  Make the entire process much more straightforward and easy to complete.  Make the reward worth the effort.,1,0,0,0,0,0,0,1,0,,,
P_80,1,1,1,1,1,Deadlines at the beginning or end of a typical semester are quite stressful.  Summer deadlines are best.,0,0,0,1,0,0,0,0,1,,,
P_81,0,0,0,0,0,Asking minorities and menstruators to submit proposals is only perpetuating white supremacy and systemic patriarchy. They should just be given grants whenever they say they need it.,0,0,0,0,0,0,0,1,0,,,
P_82,1,1,1,1,1,I use my own internal deadlines,,,,,,,,,,,,
P_83,0,0,0,0,0,Concerns about the proposal format meeting the requirement of funding agency,1,0,0,0,0,0,0,0,0,,,
P_90,0,0,1,0,0,Expansion of ancillary information that needs to follow highly constraint formats.    Formatting should not be an issue since boiler plate information should be formatted during the uploading process,,,,,,,,,,,,
P_91,1,0,0,0,0,I am literally procraastinating on my NSF due in just a few days right now. And I am stressed to hell. The rpject is close to ready but one million little things need wrapping up,,,,,,,,,,,,
P_92,1,1,1,0,0,My NSF directorate (DEB) has gotten rid of deadlines,,,,,,,,,,,,
P_94,0,0,1,0,0,I only get stressed if I don't have the whole proposal drafted a week before the deadline so that I have time to edit,1,0,0,0,0,1,0,0,0,,,
P_95,0,0,0,0,0,Having deadlines repeating every month or two would be beneficial,,,,,,,,,,,,
P_97,0,0,0,0,0,My only problem is that the actual submission of the proposal is out of my direct control and most of the stress involved comes from prompting our sponsored research office to submit.  Having PI ability to submit would make submitting proposals less stressful.,0,1,1,0,0,0,0,0,0,,,
P_100,1,0,0,0,0,Your survey was comprehensive,0,0,0,0,0,0,0,0,0,,,
P_105,0,0,1,0,0,Amount of wasted time worrying about silly things like budget and overhead rates when they have little to nothing to do with the chances of the grant getting funded. Also,,,,,,,,,,,,
P_107,0,0,0,0,0,Frustration and anxiety resulting from collaborators who do not respect deadlines and do not put in the effort needed on their part,,,,,,,,,,,,
P_109,0,0,0,0,0,I submit more proposals to programs with deadlines than those without. ,0,0,0,0,0,0,0,0,1,,,
P_111,1,1,1,1,1,I start preparing my proposals well in advance of a deadline (> 6 months),,,,,,,,,,,,
P_114,0,0,0,0,0,1/ How much support I get from the department (peers,,,,,,,,,,,,
P_115,1,1,1,0,0,I like the no deadline system,,,,,,,,,,,,
P_117,0,0,0,0,0,To succeed in acquiring funding,,,,,,,,,,,,
P_120,0,0,0,0,0,Perhaps the sort of rolling submission that NIH study section members enjoy - they can submit at any time. Actually,,,,,,,,,,,,
P_121,0,0,0,0,0,"I wrote that day of and leading up to proposal I did ""administration"" and research",,,,,,,,,,,,
P_122,0,0,0,0,0,No ideas,0,0,0,0,0,0,0,0,0,,,
P_123,0,0,0,0,0,n/a,0,0,0,0,0,,0,0,0,,,
P_125,1,0,0,0,0,Proposals and managed through univ admin,,,,,,,,,,,,
P_126,0,0,0,0,0,The deadlines do not match the requirements at our institution. We have to prepare everything at least a week before submission,,,,,,,,,,,,
P_131,1,0,1,1,0,It is completely impossible to write proposals during COVID lockdown with no child care.  Since daycare stopped I have submitted zero proposals. ,0,0,0,0,0,0,0,0,0,,,
P_135,0,0,0,0,0,Without deadlines it's easier to let things slip,0,0,0,0,0,0,1,0,0,,,
P_137,0,0,1,1,0,I actually like deadlines,,,,,,,,,,,,
P_138,0,0,0,0,0,I do not think proposal deadlines are the problem.  In fact,,,,,,,,,,,,
P_139,1,1,1,1,1,The most stressful part is the necessary reliance on other people. For example,,,,,,,,,,,,
P_140,0,0,1,0,0,One of the stressful components associated with the proposal preparation is a steady increase in number of required supporting documents aggravated by a frequent change in preparation requirements. Many of these docs have little to no value,,,,,,,,,,,,
P_142,1,0,1,0,0,Although stressful,,,,,,,,,,,,
