"FR","Gender","Departmnet","Record_id","State","S_D_E","RO_F_EG","Deadline_today","Workload_today","Workplace","RS","TW_W_H","TW_Research","Break","Email","funding_proposal","NP","FA","Success","Com_Proposal","L_Of_SR","W_WB_PD","T","DS","refereed_conference","A_N_Conf_Pap","core_rank","if_you_submit_manuscripts","far_in_advance_do_you","length_of_supp","in_the_week_leading_to_a_c","you_typically_subm","ss_level_in_a_fundi","Comments"
"Professor","Male","Computer Science",81,"South","Three months","1-25%","","","Office","RS2","> 50",30,"Every 3-4 hours","Reply Once/Twice","Yes","NP2","NSF","50-75%","1-2 months","6-12 months","Significantly more","T1","About the same","Yes","3-4","B","75-90%","2-4 weeks","> 12 months","Significantly more","1-3 hours before","About the same",""
"Associate Professor","Male","Biology",95,"South","Other","75-100%","","Standard","Home","RS2","40-50",30,"Every 3-4 hours","Reply instantly","Yes","NP2","NSF","50-75%","1-2 months","> 12 months","More","T1","About the same","Yes","1-2","A","> 90%","2-4 weeks","3-6 months","About the same","3-6 hours before","About the same",""
"Assistant Professor","Female","Psychology",96,"South","Other","Fully funded","No","Standard","Home","RS2","30-40",90,"Every 1-2 hours","Reply instantly","Yes","NP1","NIH","30-50%","> 2 months","6-12 months","More","T2","More","Yes","1-2","A","75-90%","2-4 weeks","6-12 months","About the same","1 day before","About the same",""
"Assistant Professor","Male","Physics",97,"South","Three months","75-100%","No","Standard","Office","RS2","40-50",40,"Every hour","Reply instantly","Yes","NP2","NSF","< 10%","> 2 months","1-3 months","Significantly more","T1","More","No","","","","","","",NA,NA,""
"Professor","Male","Psychology",109,"South","Three months","25-50%","No","Standard","Home","RS2","40-50",50,"Every 1-2 hours","Reply instantly","Yes","NP1","NIH","30-50%","> 2 months","> 12 months","About the same","T2","About the same","Yes",">= 10","A","> 90%","1-2 months","> 12 months","About the same","2 or more days before","About the same","Most often, proposal deadlines are easily managed with proper planning and ongoing task monitoring. "
"Associate Professor","Female","Psychology",110,"South","Three months","Not funded","No","Standard","Home","RS2","40-50",40,"Every 3-4 hours","Reply instantly","Yes","NP2","NIH","< 10%","> 2 months","6-12 months","Significantly more","T2","More","No","","","","","","",NA,NA,"There is a lot of variability in the extent to which I work up to the deadline on proposals. Two of them I have submitted 15 minutes before the deadline. But most of them I submit at least a day before the deadline. I still experience significant stress leading up to submitting, even though it is a day or so ""early."" I think continuous submission (like standing review committee members get) would decrease the amount of stress associated with any particular time of year. Now that proposals are submitted and handled electronically, it seems like there might be less need to have a deadline three months in advance of review. However, people might submit fewer proposals if they did not have an external deadline to keep them accountable."
"Professor","Male","Engineering",113,"South","Three months","50-75%","No","Standard","Home","RS2","> 50",20,"Every 3-4 hours","Reply instantly","Yes","NP1","NSF","30-50%","> 2 months","1-3 months","About the same","T2","About the same","Yes","3-4","A","75-90%","> 2 months","< 1 month","About the same","2 or more days before","About the same",""
"Associate Professor","Female","Computer Science",114,"South","Three months","Fully funded","No","Standard","Home","RS2","> 50",50,"Every hour","Reply Once/Twice","Yes","NP2","NSF","20-30%","> 2 months","1-3 months","Significantly more","T2","Significantly more","Yes","1-2","A","50-75%","> 2 months","> 12 months","About the same","1 day before","About the same","Advance thought processes, preparation will help. However, the stress of not having money in the bank to fund the lab is overwhelming... "
"Associate Professor","Female","HHP",115,"South","Other","1-25%","No","Standard","Home","RS1","40-50",70,"Every 3-4 hours","Reply instantly","Yes","NP2","Other","10-20%","1-2 months","> 12 months","About the same","T2","Less","Yes","1-2","A","> 90%","2-4 weeks","1-3 months","About the same","3-6 hours before","About the same",""
"Professor","Male","Optometry",116,"South","Three months","75-100%","No","Standard","Home","RS1","40-50",50,"Every 3-4 hours","Reply Once/Twice","Yes","NP1","NIH","20-30%","> 2 months","> 12 months","About the same","T1","About the same","No","","","","","","",NA,NA,""
"Associate Professor","Female","Information and Logistics Technology",117,"South","Three months","Not funded","Yes","Standard","Office","RS2","> 50",20,"Every 1-2 hours","Reply Once/Twice","Yes","NP1","NSF","< 10%","2-4 weeks","< 1 month","More","T1","More","Yes","3-4","B","50-75%","2-4 weeks","1-3 months","More","3-6 hours before","About the same","Interval deadlines could work. What interval would work best is a research question in its own right."
"Professor","Male","Pharmacy",118,"South","Two months","Fully funded","Yes","Standard","Office","RS1","40-50",50,"Every hour","Reply instantly","Yes","NP2","NIH","10-20%","> 2 months","> 12 months","Significantly more","T2","About the same","No","","","","","","",NA,NA,""
"Assistant Professor","Female","Optometry",121,"South","Three months","50-75%","Yes","Standard","Home","RS1","40-50",50,"Every 1-2 hours","Reply instantly","Yes","NP2","NIH","50-75%","1-2 months","6-12 months","More","T2","More","No","","","","","","",NA,NA,""
"Professor","Male","Health and Human Performance",123,"South","Three months","75-100%","Yes","Standard","Office","RS1","> 50",30,"Other","Reply Once/Twice","Yes","NP3","NIH","20-30%","> 2 months","> 12 months","More","T2","About the same","Yes","5-6","A","50-75%","2-4 weeks","> 12 months","About the same","1 day before","About the same",""
"Professor","Male","Computer Science",124,"South","Three months","75-100%","No","Light","Office","RS1","40-50",70,"Every 1-2 hours","Reply Once/Twice","Yes","NP3","NSF","10-20%","> 2 months","6-12 months","Significantly more","T1","More","Yes",">= 10","A*","30-50%","> 2 months","3-6 months","Significantly more","Minutes before","More",""
"Assistant Professor","Male","Technology",127,"South","Three months","75-100%","Yes","Heavy","Office","RS2","> 50",70,"Every 1-2 hours","Reply Once/Twice","Yes","NP2","NSF","50-75%","2-4 weeks","1-3 months","Significantly more","T1","Significantly more","Yes","1-2","C","> 90%","1-2 weeks","1-3 months","More","1-3 hours before","About the same","Although I have not experience it yet, I am favorable of the no deadline approach introduced by NSF in certain directorates/divisions."
"Professor","Male","Sociology",130,"South","Three months","1-25%","No","Heavy","Office","RS2","> 50",30,"Every 1-2 hours","Reply Once/Twice","Yes","NP2","NSF","20-30%","> 2 months","> 12 months","Significantly more","T1","More","Yes","3-4","A","75-90%","> 2 months","3-6 months","More","1 day before","More","The way the process works at my university I must arrange my schedule so I can give all of my time if needed to chase down glitches in the routing and submission process.  Personally, I prefer a couple of concentrated days of intense effort to a long drawn out process."
"Professor","Male","Mathematics",133,"South","Three months","25-50%","No","Standard","Office","RS1","< 30",30,"Every 1-2 hours","Reply Once/Twice","Yes","NP1","Other","> 90%","2-4 weeks","3-6 months","About the same","T2","About the same","No","","","","","","",NA,NA,"My proposals are mostly to a private donor, so probably my answers are not too relevant for this study."
"Professor","Male","Biology",137,"South","Three months","25-50%","Yes","Heavy","Office","RS1","> 50",30,"Every 3-4 hours","Reply instantly","Yes","NP2","NSF","30-50%","> 2 months","3-6 months","More","T1","More","No","","","","","","",NA,NA,"Deadlines focus the mind"
"Associate Professor","Male","Chemistry",138,"South","Three months","75-100%","No","Light","Home","RS1","> 50",50,"Every hour","Reply Once/Twice","Yes","NP2","NSF","10-20%","> 2 months","6-12 months","Significantly more","T2","More","No","","","","","","",NA,NA,"IMHO and experience, installing rolling deadlines will increase the quality of proposals and decrease the number of proposals."
"Assistant Professor","Male","Computer Science",139,"South","Three months","75-100%","No","Standard","Home","RS1","> 50",50,"Every 3-4 hours","Reply Once/Twice","Yes","NP2","NSF","30-50%","2-4 weeks","6-12 months","About the same","T2","About the same","Yes",">= 10","A*","30-50%","1-2 weeks","3-6 months","Significantly more","1-3 hours before","Significantly more",""
"Professor","Female","Biology",143,"South","Three months","Not funded","No","Standard","Home","RS1","> 50",10,"Every 3-4 hours","Reply instantly","Yes","NP1","NSF","75-90%","> 2 months","3-6 months","More","T2","More","No","","","","","","",NA,NA,"The granting agencies keep changing formats, requirements, and online submission sites. Just keeping up with those is a job in itself."
"Professor","Male","Computer Science",145,"East","Three months","Fully funded","No","Standard","Office","RS2","> 50",70,"Every 1-2 hours","Reply instantly","Yes","NP2","DOD","10-20%","1-2 months","> 12 months","More","T1","More","Yes","7-9","A*","10-20%","1-2 months","6-12 months","About the same","1-3 hours before","About the same",""
"Professor","Male","Chemistry",146,"South","Other","Fully funded","No","Standard","Home","RS2","40-50",50,"Every 1-2 hours","Reply instantly","Yes","NP2","NIH","30-50%","> 2 months","3-6 months","Significantly more","T2","Significantly more","No","","","","","","",NA,NA,""
"Associate Professor","Male","Engineering",149,"South","Three months","50-75%","Yes","Heavy","Office","RS2","> 50",30,"Every 3-4 hours","Reply instantly","Yes","NP3","NASA","20-30%","2-4 weeks","6-12 months","More","T2","Significantly more","Yes","3-4","A","75-90%","2-4 weeks","6-12 months","Significantly more","1 day before","Significantly more",""
"Professor","Male","Computer Science",150,"South","Three months","1-25%","Yes","Standard","Home","RS2","> 50",50,"Every 3-4 hours","Reply Once/Twice","Yes","NP2","NSF","< 10%","1-2 months","3-6 months","Significantly more","T1","Significantly more","Yes","5-6","A*","30-50%","1-2 months","3-6 months","Significantly more","1 day before","More",""
