"Rank","Mental","Physical","Temporal","Performance","Effort","Frustration","NASA","Trait","Extraversion","Agreeableness","Conscientiousness","Neuroticism","Openness","Avoidance","Emotion","Task"
"Professor",6,1,4,4,5,4,24,38,2,8,10,3,8,16,17,26
"Associate Professor",2,2,2,6,4,1,17,35,6,9,7,4,8,25,14,31
"Assistant Professor",4,1,2,6,2,1,16,54,3,7,3,9,6,23,24,16
"Professor",5,1,1,7,3,1,18,28,6,4,10,3,8,13,12,35
"Associate Professor",3,1,1,6,3,1,15,42,7,8,10,8,10,22,16,30
"Professor",4,2,4,4,4,2,20,34,5,6,10,5,5,15,18,28
"Associate Professor",3,3,3,5,4,5,23,56,6,9,10,8,5,18,34,27
"Associate Professor",4,1,4,4,4,5,22,36,9,9,10,3,9,24,24,32
"Professor",3,2,2,7,4,1,19,22,4,7,10,2,9,14,10,24
"Associate Professor",3,1,3,3,5,3,18,35,4,9,10,3,6,15,21,32
"Professor",3,1,1,5,4,2,16,45,2,10,6,4,7,25,17,29
"Assistant Professor",5,3,4,4,4,4,24,38,4,7,7,6,9,24,24,32
"Professor",5,2,4,6,5,2,24,34,6,8,9,4,6,24,13,33
"Professor",1,1,1,4,3,1,11,28,6,8,9,3,10,24,12,22
"Assistant Professor",5,2,6,5,5,4,27,51,5,8,7,7,8,20,23,28
"Professor",5,2,4,5,5,2,23,37,5,8,9,3,7,15,17,33
"Professor",3,2,3,4,3,2,17,48,5,7,6,6,7,21,25,22
"Professor",4,1,1,5,3,1,15,24,10,10,6,3,9,19,10,31
"Professor",5,2,4,3,5,2,21,37,10,8,10,2,3,18,14,29
"Associate Professor",4,2,3,5,4,3,21,33,5,10,10,6,7,30,20,33
"Assistant Professor",4,1,2,4,4,1,16,49,5,9,7,9,7,20,16,25
"Assistant Professor",2,1,3,2,2,3,13,32,9,10,8,3,8,22,8,32
"Professor",4,3,2,6,4,1,20,31,4,9,10,5,10,20,13,30
"Professor",4,2,1,6,4,1,18,26,7,6,10,4,7,24,16,35
"Professor",7,2,3,5,5,4,26,39,7,7,10,6,9,18,22,31
"Associate Professor",7,4,7,2,7,7,34,46,8,7,10,5,10,21,16,31
"Professor",3,3,3,3,3,3,18,20,9,10,8,2,6,19,7,35
"Professor",5,1,4,4,4,3,21,29,9,10,9,3,7,13,10,30
"Associate Professor",5,2,4,6,4,4,25,53,9,7,6,7,8,22,28,23
"Professor",5,1,4,6,6,1,23,26,7,10,10,6,10,20,19,28
"Associate Professor",5,3,4,5,5,6,28,47,4,4,8,7,9,23,19,29
"Professor",3,1,1,4,3,1,13,22,5,10,9,2,6,13,8,32
"Associate Professor",5,3,3,5,4,3,23,47,7,8,8,10,8,27,23,24
"Professor",3,1,5,6,3,4,22,37,8,9,9,6,9,33,14,28
"Assistant Professor",7,1,4,5,7,4,28,52,6,6,6,6,6,17,21,23
"Professor",7,1,4,5,6,5,28,44,8,6,10,7,9,23,24,27
"Professor",3,3,3,4,3,2,18,34,5,8,8,5,9,12,14,23
"Assistant Professor",4,1,6,5,5,5,26,34,5,6,9,3,10,12,9,32
"Assistant Professor",2,1,5,2,6,6,22,62,4,5,5,7,8,17,26,27
"Assistant Professor",6,4,5,5,4,4,28,55,7,8,8,5,6,17,22,27
"Professor",6,2,5,5,5,3,26,22,3,8,10,3,3,12,10,35
"Professor",4,4,5,6,5,2,26,41,7,8,7,4,10,20,7,34
"Professor",5,2,5,6,5,2,25,26,2,10,8,2,5,7,7,32
"Professor",6,2,5,5,6,2,26,44,10,10,10,3,9,14,14,31
