NASA,TA,H,RS,WH,TWR,BR,NP,FA,AP,AR,DWH,DWR,T,DS,Rank,BFI_SUM,CISS_SUM,SR
31,38,3.17809549614658,2,2,40,2,2,2,2,5,2,70,2,1,1,30,64,0
18,31,2.30268508799438,2,1,50,1,1,1,1,2,2,70,2,1,2,32,59,0
13,38,2.4849899796492996,2,2,30,2,3,1,2,2,2,80,1,1,1,36,62,0
29,52,3.33224022382318,2,2,20,2,2,1,2,5,2,60,2,2,1,36,73,0
22,25,3.66358728682656,2,2,40,2,3,1,2,4,2,60,1,2,1,31,55,0
27,48,3.43401946202938,2,2,40,2,3,1,1,4,2,90,2,2,1,34,67,0
21,30,3.46576715231146,1,2,40,2,3,1,1,2,2,80,1,2,2,32,63,0
22,28,2.70811686554675,2,2,50,1,2,1,2,2,2,50,1,2,1,28,57,0
19,32,4.70048945666019,2,2,40,1,2,2,2,3,2,70,1,2,2,35,68,0
24,41,2.4849899796492996,2,2,50,2,3,1,1,3,2,80,1,2,0,40,63,0
26,25,2.83327216585559,1,2,60,2,2,1,2,5,2,70,1,1,2,31,69,0
23,30,3.25813499882032,2,2,60,2,1,1,2,3,2,20,2,2,2,34,47,0
15,48,3.3673303121505804,1,2,30,1,1,1,2,5,2,80,1,2,2,27,71,0
15,28,2.1973356822749497,1,1,30,1,2,4,2,2,1,40,1,2,0,24,57,0
25,33,3.3673303121505804,1,1,30,1,2,1,1,4,2,60,1,2,2,40,67,0
23,55,3.29587390235551,2,2,60,2,2,1,1,2,2,80,2,2,2,30,68,0
25,59,2.9444916093603903,2,2,40,2,3,1,2,2,2,60,2,2,1,34,78,0
28,41,2.1973356822749497,2,2,30,2,2,1,1,5,2,90,1,2,0,42,67,0
23,45,2.5650262775800297,2,2,20,2,2,1,2,3,2,70,2,2,0,41,71,0
25,50,2.07956653386799,1,2,60,2,3,1,2,4,2,50,1,2,0,36,74,0
21,47,3.82866313538324,2,2,30,1,3,6,2,1,2,60,2,2,2,40,63,0
27,39,3.78421236093273,1,2,30,1,1,1,1,2,2,0,1,2,1,33,60,0
25,41,3.9318452403752295,2,2,50,2,3,1,2,4,2,70,1,2,2,32,56,0
23,56,2.77265122028674,2,2,50,1,2,1,2,2,2,70,2,2,1,38,79,0
25,54,3.2189158240682203,2,2,40,1,1,1,2,2,2,60,2,2,0,41,60,0
23,37,3.17809549614658,2,2,30,1,2,1,2,5,2,70,1,2,2,32,65,0
18,20,3.0445700556372897,2,2,50,2,2,1,2,3,2,70,1,2,2,35,61,0
26,35,3.13553769324487,2,2,70,1,3,1,1,5,2,90,1,1,1,33,66,0
